,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,popondetta,-8.7537,148.2534,74.5,95,98,2.37,PG,1673472266
264,tual,-5.6667,132.75,82.54,71,100,6.71,ID,1673472266
265,mar del plata,-38.0023,-57.5575,70.09,93,100,5.99,AR,1673472267
266,puri,19.8,85.85,63.12,64,0,1.83,IN,1673472267
267,bhunya,-26.55,31.0167,62.02,96,0,1.45,SZ,1673472268
268,la ronge,55.1001,-105.2842,16.05,86,75,4.61,CA,1673472268
269,alofi,-19.0595,-169.9187,82.29,83,75,8.05,NU,1673471971
270,sucua,-2.4667,-78.1667,77.74,64,75,5.75,EC,1673472269
271,prescott,34.54,-112.4685,50.18,43,0,6.91,US,1673471721
272,norman wells,65.282,-126.8329,-0.36,85,75,5.75,CA,1673472270
273,ilam,26.9167,87.9167,48.87,54,0,5.41,NP,1673472271
274,astana,51.1801,71.446,-20.25,69,75,13.42,KZ,1673472271
275,sokolo,14.7328,-6.1219,75.51,11,82,10.58,ML,1673472272
276,hurghada,27.2574,33.8129,59.02,59,5,3.76,EG,1673472272
277,pontianak,-0.0333,109.3333,75.18,100,99,1.14,ID,1673472273
278,kalmar,56.6616,16.3616,43.14,94,100,6.91,SE,1673472273
279,gao,16.6362,1.637,64.4,16,0,12.08,ML,1673472183
280,qarqin,37.4185,66.0436,14.2,75,0,7.94,AF,1673472275
281,borzya,50.3833,116.5167,-1.5,99,97,3.13,RU,1673472276
282,osoyoos,49.0331,-119.4524,38.16,87,96,2.3,CA,1673472277
283,altamira,-3.2033,-52.2064,82.49,78,20,2.3,BR,1673472277
284,gladstone,-23.85,151.25,75.13,73,75,9.22,AU,1673472278
285,uglekamensk,43.2172,133.2303,14.23,92,24,2.98,RU,1673472279
286,asau,46.4333,26.4,27.52,96,100,2.24,RO,1673472280
287,george,-33.963,22.4617,71.15,94,100,3.44,ZA,1673472280
288,santa marinella,42.0345,11.8536,49.71,78,88,7.16,IT,1673472281
289,half moon bay,37.4636,-122.4286,57.29,92,100,23.02,US,1673472228
290,lashio,22.9333,97.75,47.23,88,0,1.05,MM,1673472283
291,harrisonville,38.6533,-94.3488,57.22,50,0,5.75,US,1673472285
